"title";"field_street";"field_city";"field_postal_code";"field_country"
"University of Oxford";"Wellington Square";"Oxford";"OX1 2JD";"UK"
"University of Manchester";"Oxford Road";"Manchester";"M13 9PL";"UK"
"University of Leicester";"University Road";"Leicester";"LE1 7RH";"UK"
"University of Glasgow";"Garscube Estate";"Glasgow";"G20 0TH";"UK"
"University Medical Centre Groningen";"";"Groningen";"P.O. Box 30001";"Sweden"
"UK Biobank";"1-2 Spectrum Way";"Stockport, Cheshire";"SK30 SA";"UK"
"Karolinska Institute";"";"Stockholm";"SE-171 77";"Sweden"
"Institute of Epidemiology";"Helmholtz Zentrum MÃ¼nchen";"Neuherberg";"D-85758";"Germany"
"Imperial College London";"Exhibition Rd";"London";"SW7 2AZ";"UK"
"HUNT Research Centre";"Forskningsveien 2";"Levanger";"N-7600";"Norway"
"Cardiff University";"King Edward VII Ave";"Cardiff";"CF10 3NS";"UK"
