"title";"field_street";"field_city";"field_country_text";"field_postal_code"
"Universidad de Costa Rica";"2312 calle Royale";"San Jose";"Costa Rica";"J83JDN76"
"University of Cambridge";"34 Main Street";"Cambridge";"United States";"72914"
"Université de Liège";"2245 rue Principale";"Liège";"Belgium";"128"
"Genome UK";"Bexley";"221B Baker Street";"United Kingdom";"EC1M 4AY"
"Canadian Genomic Center";"821 boulevard René-Lévesque";"Montreal";"Canada";"H2H 4N2"
"BioBank Europe";"5122 Avenue Alphonse Cherrier";"Paris";"France";"35004"
"Helena Genomics";"23 Cliff Drive";"Santa Cruz";"United States";"98327"
"Devon University";"651A Bristol Road";"Devon";"United Kingdom";"FD1J 7Y2"
"Tyrell Institute";"6 Liberty Square";"Boston";"United States";"34193"
"Atlantic Genomic Research";"347 Sao Tomé";"Lisboa";"Portugal";"281023"